STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2006Q3,All nationalities,All ILO economic status,3414.6
Persons aged 15 years and over,2006Q3,All nationalities,In labour force,2275.9
Persons aged 15 years and over,2006Q3,All nationalities,In employment,2159.1
Persons aged 15 years and over,2006Q3,All nationalities,Unemployed,116.8
Persons aged 15 years and over,2006Q3,All nationalities,Not in labour force,1138.7
Persons aged 15 years and over,2006Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,41.2
Persons aged 15 years and over,2006Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,35.0
Persons aged 15 years and over,2006Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,33.2
Persons aged 15 years and over,2006Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2006Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,6.2
Persons aged 15 years and over,2006Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,132.2
Persons aged 15 years and over,2006Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,121.6
Persons aged 15 years and over,2006Q3,EU15 to EU27 (accession countries joined post 2004),In employment,113.5
Persons aged 15 years and over,2006Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,8.1
Persons aged 15 years and over,2006Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,10.6
Persons aged 15 years and over,2006Q3,UK,All ILO economic status,99.4
Persons aged 15 years and over,2006Q3,UK,In labour force,63.2
Persons aged 15 years and over,2006Q3,UK,In employment,58.2
Persons aged 15 years and over,2006Q3,UK,Unemployed,5.0
Persons aged 15 years and over,2006Q3,UK,Not in labour force,36.2
Persons aged 15 years and over,2006Q3,Irish,All ILO economic status,3011.2
Persons aged 15 years and over,2006Q3,Irish,In labour force,1962.4
Persons aged 15 years and over,2006Q3,Irish,In employment,1868.9
Persons aged 15 years and over,2006Q3,Irish,Unemployed,93.5
Persons aged 15 years and over,2006Q3,Irish,Not in labour force,1048.8
Persons aged 15 years and over,2006Q3,Non-Irish,All ILO economic status,403.4
Persons aged 15 years and over,2006Q3,Non-Irish,In labour force,313.5
Persons aged 15 years and over,2006Q3,Non-Irish,In employment,290.1
Persons aged 15 years and over,2006Q3,Non-Irish,Unemployed,23.3
Persons aged 15 years and over,2006Q3,Non-Irish,Not in labour force,89.9
Persons aged 15 years and over,2006Q3,Other nationalities (7),All ILO economic status,130.6
Persons aged 15 years and over,2006Q3,Other nationalities (7),In labour force,93.7
Persons aged 15 years and over,2006Q3,Other nationalities (7),In employment,85.3
Persons aged 15 years and over,2006Q3,Other nationalities (7),Unemployed,8.4
Persons aged 15 years and over,2006Q3,Other nationalities (7),Not in labour force,36.9
Persons aged 15 years and over,2006Q4,All nationalities,All ILO economic status,3446.4
Persons aged 15 years and over,2006Q4,All nationalities,In labour force,2265.2
Persons aged 15 years and over,2006Q4,All nationalities,In employment,2166.8
Persons aged 15 years and over,2006Q4,All nationalities,Unemployed,98.3
Persons aged 15 years and over,2006Q4,All nationalities,Not in labour force,1181.2
Persons aged 15 years and over,2006Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,44.1
Persons aged 15 years and over,2006Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,35.6
Persons aged 15 years and over,2006Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,33.6
Persons aged 15 years and over,2006Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2006Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,8.5
Persons aged 15 years and over,2006Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,153.7
Persons aged 15 years and over,2006Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,140.6
Persons aged 15 years and over,2006Q4,EU15 to EU27 (accession countries joined post 2004),In employment,132.0
Persons aged 15 years and over,2006Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,8.6
Persons aged 15 years and over,2006Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,13.2
Persons aged 15 years and over,2006Q4,UK,All ILO economic status,99.3
Persons aged 15 years and over,2006Q4,UK,In labour force,63.1
Persons aged 15 years and over,2006Q4,UK,In employment,58.9
Persons aged 15 years and over,2006Q4,UK,Unemployed,4.2
Persons aged 15 years and over,2006Q4,UK,Not in labour force,36.2
Persons aged 15 years and over,2006Q4,Irish,All ILO economic status,3021.2
Persons aged 15 years and over,2006Q4,Irish,In labour force,1935.8
Persons aged 15 years and over,2006Q4,Irish,In employment,1857.9
Persons aged 15 years and over,2006Q4,Irish,Unemployed,77.8
Persons aged 15 years and over,2006Q4,Irish,Not in labour force,1085.4
Persons aged 15 years and over,2006Q4,Non-Irish,All ILO economic status,425.2
Persons aged 15 years and over,2006Q4,Non-Irish,In labour force,329.4
Persons aged 15 years and over,2006Q4,Non-Irish,In employment,308.9
Persons aged 15 years and over,2006Q4,Non-Irish,Unemployed,20.5
Persons aged 15 years and over,2006Q4,Non-Irish,Not in labour force,95.8
Persons aged 15 years and over,2006Q4,Other nationalities (7),All ILO economic status,128.0
Persons aged 15 years and over,2006Q4,Other nationalities (7),In labour force,90.2
Persons aged 15 years and over,2006Q4,Other nationalities (7),In employment,84.4
Persons aged 15 years and over,2006Q4,Other nationalities (7),Unemployed,5.7
Persons aged 15 years and over,2006Q4,Other nationalities (7),Not in labour force,37.9
Persons aged 15 years and over,2007Q1,All nationalities,All ILO economic status,3472.7
Persons aged 15 years and over,2007Q1,All nationalities,In labour force,2296.8
Persons aged 15 years and over,2007Q1,All nationalities,In employment,2185.6
Persons aged 15 years and over,2007Q1,All nationalities,Unemployed,111.2
Persons aged 15 years and over,2007Q1,All nationalities,Not in labour force,1176.0
Persons aged 15 years and over,2007Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,43.9
Persons aged 15 years and over,2007Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,35.5
Persons aged 15 years and over,2007Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,32.7
Persons aged 15 years and over,2007Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,2.8
Persons aged 15 years and over,2007Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,8.4
Persons aged 15 years and over,2007Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,182.3
Persons aged 15 years and over,2007Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,164.2
Persons aged 15 years and over,2007Q1,EU15 to EU27 (accession countries joined post 2004),In employment,153.7
Persons aged 15 years and over,2007Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,10.5
Persons aged 15 years and over,2007Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,18.1
Persons aged 15 years and over,2007Q1,UK,All ILO economic status,99.2
Persons aged 15 years and over,2007Q1,UK,In labour force,62.8
Persons aged 15 years and over,2007Q1,UK,In employment,59.3
Persons aged 15 years and over,2007Q1,UK,Unemployed,3.5
Persons aged 15 years and over,2007Q1,UK,Not in labour force,36.4
Persons aged 15 years and over,2007Q1,Irish,All ILO economic status,3032.2
Persons aged 15 years and over,2007Q1,Irish,In labour force,1953.4
Persons aged 15 years and over,2007Q1,Irish,In employment,1865.0
Persons aged 15 years and over,2007Q1,Irish,Unemployed,88.4
Persons aged 15 years and over,2007Q1,Irish,Not in labour force,1078.7
Persons aged 15 years and over,2007Q1,Non-Irish,All ILO economic status,440.6
Persons aged 15 years and over,2007Q1,Non-Irish,In labour force,343.4
Persons aged 15 years and over,2007Q1,Non-Irish,In employment,320.6
Persons aged 15 years and over,2007Q1,Non-Irish,Unemployed,22.8
Persons aged 15 years and over,2007Q1,Non-Irish,Not in labour force,97.2
Persons aged 15 years and over,2007Q1,Other nationalities (7),All ILO economic status,115.2
Persons aged 15 years and over,2007Q1,Other nationalities (7),In labour force,80.9
Persons aged 15 years and over,2007Q1,Other nationalities (7),In employment,74.9
Persons aged 15 years and over,2007Q1,Other nationalities (7),Unemployed,5.9
Persons aged 15 years and over,2007Q1,Other nationalities (7),Not in labour force,34.3
Persons aged 15 years and over,2007Q2,All nationalities,All ILO economic status,3498.2
Persons aged 15 years and over,2007Q2,All nationalities,In labour force,2331.9
Persons aged 15 years and over,2007Q2,All nationalities,In employment,2211.8
Persons aged 15 years and over,2007Q2,All nationalities,Unemployed,120.1
Persons aged 15 years and over,2007Q2,All nationalities,Not in labour force,1166.3
Persons aged 15 years and over,2007Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,44.4
Persons aged 15 years and over,2007Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,35.2
Persons aged 15 years and over,2007Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,33.6
Persons aged 15 years and over,2007Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2007Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,9.2
Persons aged 15 years and over,2007Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,196.6
Persons aged 15 years and over,2007Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,177.1
Persons aged 15 years and over,2007Q2,EU15 to EU27 (accession countries joined post 2004),In employment,166.8
Persons aged 15 years and over,2007Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,10.2
Persons aged 15 years and over,2007Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,19.5
Persons aged 15 years and over,2007Q2,UK,All ILO economic status,99.3
Persons aged 15 years and over,2007Q2,UK,In labour force,64.1
Persons aged 15 years and over,2007Q2,UK,In employment,60.7
Persons aged 15 years and over,2007Q2,UK,Unemployed,3.4
Persons aged 15 years and over,2007Q2,UK,Not in labour force,35.2
Persons aged 15 years and over,2007Q2,Irish,All ILO economic status,3042.3
Persons aged 15 years and over,2007Q2,Irish,In labour force,1973.1
Persons aged 15 years and over,2007Q2,Irish,In employment,1874.8
Persons aged 15 years and over,2007Q2,Irish,Unemployed,98.3
Persons aged 15 years and over,2007Q2,Irish,Not in labour force,1069.2
Persons aged 15 years and over,2007Q2,Non-Irish,All ILO economic status,455.9
Persons aged 15 years and over,2007Q2,Non-Irish,In labour force,358.8
Persons aged 15 years and over,2007Q2,Non-Irish,In employment,337.0
Persons aged 15 years and over,2007Q2,Non-Irish,Unemployed,21.8
Persons aged 15 years and over,2007Q2,Non-Irish,Not in labour force,97.1
Persons aged 15 years and over,2007Q2,Other nationalities (7),All ILO economic status,115.6
Persons aged 15 years and over,2007Q2,Other nationalities (7),In labour force,82.4
Persons aged 15 years and over,2007Q2,Other nationalities (7),In employment,75.8
Persons aged 15 years and over,2007Q2,Other nationalities (7),Unemployed,6.6
Persons aged 15 years and over,2007Q2,Other nationalities (7),Not in labour force,33.2
Persons aged 15 years and over,2007Q3,All nationalities,All ILO economic status,3520.5
Persons aged 15 years and over,2007Q3,All nationalities,In labour force,2370.7
Persons aged 15 years and over,2007Q3,All nationalities,In employment,2251.0
Persons aged 15 years and over,2007Q3,All nationalities,Unemployed,119.7
Persons aged 15 years and over,2007Q3,All nationalities,Not in labour force,1149.8
Persons aged 15 years and over,2007Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,45.4
Persons aged 15 years and over,2007Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,37.6
Persons aged 15 years and over,2007Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,35.6
Persons aged 15 years and over,2007Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2007Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,7.9
Persons aged 15 years and over,2007Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,205.2
Persons aged 15 years and over,2007Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,183.3
Persons aged 15 years and over,2007Q3,EU15 to EU27 (accession countries joined post 2004),In employment,173.7
Persons aged 15 years and over,2007Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,9.6
Persons aged 15 years and over,2007Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,21.9
Persons aged 15 years and over,2007Q3,UK,All ILO economic status,100.1
Persons aged 15 years and over,2007Q3,UK,In labour force,63.1
Persons aged 15 years and over,2007Q3,UK,In employment,56.8
Persons aged 15 years and over,2007Q3,UK,Unemployed,6.3
Persons aged 15 years and over,2007Q3,UK,Not in labour force,37.0
Persons aged 15 years and over,2007Q3,Irish,All ILO economic status,3051.9
Persons aged 15 years and over,2007Q3,Irish,In labour force,2001.8
Persons aged 15 years and over,2007Q3,Irish,In employment,1904.8
Persons aged 15 years and over,2007Q3,Irish,Unemployed,97.0
Persons aged 15 years and over,2007Q3,Irish,Not in labour force,1050.1
Persons aged 15 years and over,2007Q3,Non-Irish,All ILO economic status,468.6
Persons aged 15 years and over,2007Q3,Non-Irish,In labour force,368.9
Persons aged 15 years and over,2007Q3,Non-Irish,In employment,346.2
Persons aged 15 years and over,2007Q3,Non-Irish,Unemployed,22.7
Persons aged 15 years and over,2007Q3,Non-Irish,Not in labour force,99.7
Persons aged 15 years and over,2007Q3,Other nationalities (7),All ILO economic status,117.9
Persons aged 15 years and over,2007Q3,Other nationalities (7),In labour force,84.9
Persons aged 15 years and over,2007Q3,Other nationalities (7),In employment,80.0
