Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Transportation and storage (H),39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Accommodation and food service activities (I),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Information and communication (J),38.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Administrative and support service activities (N),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Public administration and defence; compulsory social security (O),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Education (P),28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Industry (B to E),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Services (G to U),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Not stated,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,All NACE economic sectors,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"Agriculture, forestry and fishing (A)",50.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Construction (F),40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Transportation and storage (H),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Accommodation and food service activities (I),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Information and communication (J),37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Administrative and support service activities (N),34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Public administration and defence; compulsory social security (O),36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Education (P),28.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Human health and social work activities (Q),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Industry (B to E),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Other NACE activities (R to U),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,All NACE economic sectors,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"Agriculture, forestry and fishing (A)",49.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Construction (F),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Transportation and storage (H),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Accommodation and food service activities (I),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Information and communication (J),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"Professional, scientific and technical activities (M)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Administrative and support service activities (N),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Public administration and defence; compulsory social security (O),36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Education (P),28.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Human health and social work activities (Q),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"Financial, insurance and real estate activities (K, L)",37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Other NACE activities (R to U),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,Not stated,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"Agriculture, forestry and fishing (A)",48.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Construction (F),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Transportation and storage (H),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Accommodation and food service activities (I),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Information and communication (J),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Administrative and support service activities (N),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Public administration and defence; compulsory social security (O),36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Education (P),28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Human health and social work activities (Q),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"Financial, insurance and real estate activities (K, L)",37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Other NACE activities (R to U),32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Industry and Construction (B to F),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,All NACE economic sectors,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,"Agriculture, forestry and fishing (A)",48.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Construction (F),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Transportation and storage (H),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Accommodation and food service activities (I),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Information and communication (J),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Administrative and support service activities (N),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Public administration and defence; compulsory social security (O),36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Education (P),28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,Human health and social work activities (Q),32.2
