Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,3 Associate professional and technical,196.6
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,4 Administrative and secreterial,181.9
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,5 Skilled trades,373.3
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,"6 Caring, leisure and other services",92.1
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,7 Sales and customer service,98.7
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,"8 Process, plant and machine operatives",161.6
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,9 Elementary,218.3
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,X1 Other/Not stated,5.2
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,All occupational groups,415.3
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,"1 Managers, directors and senior officials",10.2
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,2 Professional,51.4
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,3 Associate professional and technical,26.3
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,4 Administrative and secreterial,63.2
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,5 Skilled trades,27.4
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,"6 Caring, leisure and other services",54.2
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,7 Sales and customer service,80.7
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,"8 Process, plant and machine operatives",13.5
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,9 Elementary,87.7
Persons aged 15 years and over in Employment (ILO),2008Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,All occupational groups,2217.8
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,"1 Managers, directors and senior officials",157.0
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,2 Professional,379.5
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,3 Associate professional and technical,226.3
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,4 Administrative and secreterial,250.2
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,5 Skilled trades,392.6
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,"6 Caring, leisure and other services",151.8
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,7 Sales and customer service,174.4
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,"8 Process, plant and machine operatives",174.1
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,9 Elementary,306.7
Persons aged 15 years and over in Employment (ILO),2008Q2,All employment status,X1 Other/Not stated,5.2
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,All occupational groups,1799.5
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,"1 Managers, directors and senior officials",147.9
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,2 Professional,330.8
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,3 Associate professional and technical,198.2
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,4 Administrative and secreterial,185.0
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,5 Skilled trades,363.0
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,"6 Caring, leisure and other services",94.3
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,7 Sales and customer service,95.5
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,"8 Process, plant and machine operatives",158.7
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,9 Elementary,221.4
Persons aged 15 years and over in Employment (ILO),2008Q2,Full-time,X1 Other/Not stated,4.6
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,All occupational groups,418.3
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,"1 Managers, directors and senior officials",9.1
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,2 Professional,48.7
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,3 Associate professional and technical,28.1
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,4 Administrative and secreterial,65.2
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,5 Skilled trades,29.5
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,"6 Caring, leisure and other services",57.5
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,7 Sales and customer service,78.9
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,"8 Process, plant and machine operatives",15.4
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,9 Elementary,85.3
Persons aged 15 years and over in Employment (ILO),2008Q2,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,All occupational groups,2209.4
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,"1 Managers, directors and senior officials",157.8
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,2 Professional,372.8
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,3 Associate professional and technical,227.8
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,4 Administrative and secreterial,255.6
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,5 Skilled trades,389.1
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,"6 Caring, leisure and other services",152.0
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,7 Sales and customer service,170.5
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,"8 Process, plant and machine operatives",175.3
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,9 Elementary,302.8
Persons aged 15 years and over in Employment (ILO),2008Q3,All employment status,X1 Other/Not stated,5.7
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,All occupational groups,1784.5
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,"1 Managers, directors and senior officials",148.1
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,2 Professional,327.8
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,3 Associate professional and technical,198.7
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,4 Administrative and secreterial,190.2
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,5 Skilled trades,358.3
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,"6 Caring, leisure and other services",92.4
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,7 Sales and customer service,90.3
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,"8 Process, plant and machine operatives",160.1
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,9 Elementary,213.4
Persons aged 15 years and over in Employment (ILO),2008Q3,Full-time,X1 Other/Not stated,5.3
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,All occupational groups,424.9
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,"1 Managers, directors and senior officials",9.8
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,2 Professional,45.0
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,3 Associate professional and technical,29.1
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,4 Administrative and secreterial,65.3
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,5 Skilled trades,30.8
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,"6 Caring, leisure and other services",59.5
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,7 Sales and customer service,80.2
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,"8 Process, plant and machine operatives",15.3
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,9 Elementary,89.4
Persons aged 15 years and over in Employment (ILO),2008Q3,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,All occupational groups,2145.6
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,"1 Managers, directors and senior officials",153.1
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,2 Professional,389.7
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,3 Associate professional and technical,226.8
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,4 Administrative and secreterial,242.5
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,5 Skilled trades,373.7
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,"6 Caring, leisure and other services",148.9
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,7 Sales and customer service,166.4
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,"8 Process, plant and machine operatives",165.6
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,9 Elementary,273.8
Persons aged 15 years and over in Employment (ILO),2008Q4,All employment status,X1 Other/Not stated,5.0
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,All occupational groups,1726.2
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,"1 Managers, directors and senior officials",143.2
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,2 Professional,336.9
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,3 Associate professional and technical,196.5
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,4 Administrative and secreterial,178.6
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,5 Skilled trades,343.2
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,"6 Caring, leisure and other services",90.9
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,7 Sales and customer service,88.8
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,"8 Process, plant and machine operatives",151.0
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,9 Elementary,192.4
Persons aged 15 years and over in Employment (ILO),2008Q4,Full-time,X1 Other/Not stated,4.7
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,All occupational groups,419.4
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,"1 Managers, directors and senior officials",9.8
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,2 Professional,52.9
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,3 Associate professional and technical,30.3
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,4 Administrative and secreterial,63.9
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,5 Skilled trades,30.4
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,"6 Caring, leisure and other services",58.1
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,7 Sales and customer service,77.7
Persons aged 15 years and over in Employment (ILO),2008Q4,Part-time,"8 Process, plant and machine operatives",14.7
