STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2004Q2,Irish,"Financial, insurance and real estate activities (K, L)",90.5
Persons aged 15 years and over in Employment,2004Q2,Irish,Other NACE activities (R to U),94.0
Persons aged 15 years and over in Employment,2004Q2,Irish,Not stated,6.2
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,All NACE economic sectors,114.7
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,"Agriculture, forestry and fishing (A)",2.5
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Construction (F),8.1
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),14.6
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Transportation and storage (H),3.1
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Accommodation and food service activities (I),17.2
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Information and communication (J),5.7
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,"Professional, scientific and technical activities (M)",6.0
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Administrative and support service activities (N),6.0
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Education (P),6.1
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Human health and social work activities (Q),13.6
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Industry (B to E),19.3
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,"Financial, insurance and real estate activities (K, L)",3.9
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Other NACE activities (R to U),7.4
Persons aged 15 years and over in Employment,2004Q2,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),All NACE economic sectors,65.6
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),"Agriculture, forestry and fishing (A)",1.8
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Construction (F),4.8
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8.5
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Accommodation and food service activities (I),13.4
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Information and communication (J),2.5
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),"Professional, scientific and technical activities (M)",2.2
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Administrative and support service activities (N),3.1
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Education (P),2.4
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Human health and social work activities (Q),9.4
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Industry (B to E),11.2
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Other NACE activities (R to U),3.4
Persons aged 15 years and over in Employment,2004Q2,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2004Q3,All nationalities,All NACE economic sectors,1984.1
Persons aged 15 years and over in Employment,2004Q3,All nationalities,"Agriculture, forestry and fishing (A)",118.5
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Construction (F),187.7
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),283.7
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Transportation and storage (H),91.9
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Accommodation and food service activities (I),121.7
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Information and communication (J),75.2
Persons aged 15 years and over in Employment,2004Q3,All nationalities,"Professional, scientific and technical activities (M)",107.1
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Administrative and support service activities (N),77.3
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Public administration and defence; compulsory social security (O),85.9
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Education (P),114.9
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Human health and social work activities (Q),197.0
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Industry (B to E),316.8
Persons aged 15 years and over in Employment,2004Q3,All nationalities,"Financial, insurance and real estate activities (K, L)",93.0
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Other NACE activities (R to U),102.4
Persons aged 15 years and over in Employment,2004Q3,All nationalities,Not stated,10.9
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,21.1
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),1.4
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),3.5
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),2.7
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),3.0
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,23.5
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Construction (F),4.2
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),4.0
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),3.7
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),5.8
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q3,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2004Q3,UK,All NACE economic sectors,35.7
Persons aged 15 years and over in Employment,2004Q3,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q3,UK,Construction (F),3.4
Persons aged 15 years and over in Employment,2004Q3,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),4.8
Persons aged 15 years and over in Employment,2004Q3,UK,Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q3,UK,Accommodation and food service activities (I),1.9
Persons aged 15 years and over in Employment,2004Q3,UK,Information and communication (J),
Persons aged 15 years and over in Employment,2004Q3,UK,"Professional, scientific and technical activities (M)",3.3
