Statistic,Quarter,Region,value
Unemployed Persons aged 15 years and over,2022Q3,Border,10.5
Unemployed Persons aged 15 years and over,2022Q3,West,10.8
Unemployed Persons aged 15 years and over,2022Q3,Southern,33.5
Unemployed Persons aged 15 years and over,2022Q3,Mid-West,11.6
Unemployed Persons aged 15 years and over,2022Q3,South-East,8.3
Unemployed Persons aged 15 years and over,2022Q3,South-West,13.6
Unemployed Persons aged 15 years and over,2022Q3,Eastern and Midland,65.7
Unemployed Persons aged 15 years and over,2022Q3,Dublin,41.5
Unemployed Persons aged 15 years and over,2022Q3,Mid-East,16.5
Unemployed Persons aged 15 years and over,2022Q3,Midland,7.7
Unemployed Persons aged 15 years and over,2022Q4,State,112.6
Unemployed Persons aged 15 years and over,2022Q4,Northern and Western,17.7
Unemployed Persons aged 15 years and over,2022Q4,Border,9.0
Unemployed Persons aged 15 years and over,2022Q4,West,8.7
Unemployed Persons aged 15 years and over,2022Q4,Southern,34.6
Unemployed Persons aged 15 years and over,2022Q4,Mid-West,10.9
Unemployed Persons aged 15 years and over,2022Q4,South-East,12.4
Unemployed Persons aged 15 years and over,2022Q4,South-West,11.3
Unemployed Persons aged 15 years and over,2022Q4,Eastern and Midland,60.3
Unemployed Persons aged 15 years and over,2022Q4,Dublin,38.4
Unemployed Persons aged 15 years and over,2022Q4,Mid-East,16.2
Unemployed Persons aged 15 years and over,2022Q4,Midland,
Unemployed Persons aged 15 years and over,2023Q1,State,111.3
Unemployed Persons aged 15 years and over,2023Q1,Northern and Western,18.0
Unemployed Persons aged 15 years and over,2023Q1,Border,8.3
Unemployed Persons aged 15 years and over,2023Q1,West,9.7
Unemployed Persons aged 15 years and over,2023Q1,Southern,28.6
Unemployed Persons aged 15 years and over,2023Q1,Mid-West,10.3
Unemployed Persons aged 15 years and over,2023Q1,South-East,8.6
Unemployed Persons aged 15 years and over,2023Q1,South-West,9.6
Unemployed Persons aged 15 years and over,2023Q1,Eastern and Midland,64.7
Unemployed Persons aged 15 years and over,2023Q1,Dublin,42.4
Unemployed Persons aged 15 years and over,2023Q1,Mid-East,16.0
Unemployed Persons aged 15 years and over,2023Q1,Midland,
Unemployed Persons aged 15 years and over,2023Q2,State,122.2
Unemployed Persons aged 15 years and over,2023Q2,Northern and Western,17.8
Unemployed Persons aged 15 years and over,2023Q2,Border,8.1
Unemployed Persons aged 15 years and over,2023Q2,West,9.8
Unemployed Persons aged 15 years and over,2023Q2,Southern,42.5
Unemployed Persons aged 15 years and over,2023Q2,Mid-West,12.7
Unemployed Persons aged 15 years and over,2023Q2,South-East,13.3
Unemployed Persons aged 15 years and over,2023Q2,South-West,16.5
Unemployed Persons aged 15 years and over,2023Q2,Eastern and Midland,61.8
Unemployed Persons aged 15 years and over,2023Q2,Dublin,42.2
Unemployed Persons aged 15 years and over,2023Q2,Mid-East,13.6
Unemployed Persons aged 15 years and over,2023Q2,Midland,
Unemployed Persons aged 15 years and over,2023Q3,State,129.9
Unemployed Persons aged 15 years and over,2023Q3,Northern and Western,18.3
Unemployed Persons aged 15 years and over,2023Q3,Border,9.1
Unemployed Persons aged 15 years and over,2023Q3,West,9.2
Unemployed Persons aged 15 years and over,2023Q3,Southern,45.3
Unemployed Persons aged 15 years and over,2023Q3,Mid-West,13.8
Unemployed Persons aged 15 years and over,2023Q3,South-East,11.6
Unemployed Persons aged 15 years and over,2023Q3,South-West,19.9
Unemployed Persons aged 15 years and over,2023Q3,Eastern and Midland,66.3
Unemployed Persons aged 15 years and over,2023Q3,Dublin,42.0
Unemployed Persons aged 15 years and over,2023Q3,Mid-East,16.2
Unemployed Persons aged 15 years and over,2023Q3,Midland,8.1
Unemployed Persons aged 15 years and over,2023Q4,State,117.7
Unemployed Persons aged 15 years and over,2023Q4,Northern and Western,17.9
Unemployed Persons aged 15 years and over,2023Q4,Border,7.5
Unemployed Persons aged 15 years and over,2023Q4,West,10.4
Unemployed Persons aged 15 years and over,2023Q4,Southern,36.2
Unemployed Persons aged 15 years and over,2023Q4,Mid-West,11.1
Unemployed Persons aged 15 years and over,2023Q4,South-East,10.4
Unemployed Persons aged 15 years and over,2023Q4,South-West,14.6
Unemployed Persons aged 15 years and over,2023Q4,Eastern and Midland,63.7
Unemployed Persons aged 15 years and over,2023Q4,Dublin,39.7
Unemployed Persons aged 15 years and over,2023Q4,Mid-East,14.9
Unemployed Persons aged 15 years and over,2023Q4,Midland,9.1
Unemployed Persons aged 15 years and over,2024Q1,State,115.2
Unemployed Persons aged 15 years and over,2024Q1,Northern and Western,17.9
Unemployed Persons aged 15 years and over,2024Q1,Border,8.2
Unemployed Persons aged 15 years and over,2024Q1,West,9.7
Unemployed Persons aged 15 years and over,2024Q1,Southern,36.0
Unemployed Persons aged 15 years and over,2024Q1,Mid-West,9.7
Unemployed Persons aged 15 years and over,2024Q1,South-East,8.8
Unemployed Persons aged 15 years and over,2024Q1,South-West,17.5
Unemployed Persons aged 15 years and over,2024Q1,Eastern and Midland,61.4
Unemployed Persons aged 15 years and over,2024Q1,Dublin,39.2
Unemployed Persons aged 15 years and over,2024Q1,Mid-East,13.4
Unemployed Persons aged 15 years and over,2024Q1,Midland,8.8
Unemployed Persons aged 15 years and over,2024Q2,State,131.2
Unemployed Persons aged 15 years and over,2024Q2,Northern and Western,21.5
Unemployed Persons aged 15 years and over,2024Q2,Border,8.9
Unemployed Persons aged 15 years and over,2024Q2,West,12.6
Unemployed Persons aged 15 years and over,2024Q2,Southern,45.3
Unemployed Persons aged 15 years and over,2024Q2,Mid-West,9.6
Unemployed Persons aged 15 years and over,2024Q2,South-East,17.0
Unemployed Persons aged 15 years and over,2024Q2,South-West,18.7
Unemployed Persons aged 15 years and over,2024Q2,Eastern and Midland,64.5
Unemployed Persons aged 15 years and over,2024Q2,Dublin,40.8
Unemployed Persons aged 15 years and over,2024Q2,Mid-East,14.8
Unemployed Persons aged 15 years and over,2024Q2,Midland,8.8
Unemployed Persons aged 15 years and over,2024Q3,State,129.5
Unemployed Persons aged 15 years and over,2024Q3,Northern and Western,20.2
Unemployed Persons aged 15 years and over,2024Q3,Border,7.5
Unemployed Persons aged 15 years and over,2024Q3,West,12.7
Unemployed Persons aged 15 years and over,2024Q3,Southern,41.4
Unemployed Persons aged 15 years and over,2024Q3,Mid-West,12.8
Unemployed Persons aged 15 years and over,2024Q3,South-East,9.5
Unemployed Persons aged 15 years and over,2024Q3,South-West,19.0
Unemployed Persons aged 15 years and over,2024Q3,Eastern and Midland,68.0
Unemployed Persons aged 15 years and over,2024Q3,Dublin,42.8
Unemployed Persons aged 15 years and over,2024Q3,Mid-East,16.5
Unemployed Persons aged 15 years and over,2024Q3,Midland,8.7
Unemployed Persons aged 15 years and over,2024Q4,State,116.1
Unemployed Persons aged 15 years and over,2024Q4,Northern and Western,22.2
Unemployed Persons aged 15 years and over,2024Q4,Border,11.4
Unemployed Persons aged 15 years and over,2024Q4,West,10.8
Unemployed Persons aged 15 years and over,2024Q4,Southern,31.6
Unemployed Persons aged 15 years and over,2024Q4,Mid-West,9.7
Unemployed Persons aged 15 years and over,2024Q4,South-East,9.2
Unemployed Persons aged 15 years and over,2024Q4,South-West,12.8
Unemployed Persons aged 15 years and over,2024Q4,Eastern and Midland,62.3
Unemployed Persons aged 15 years and over,2024Q4,Dublin,39.8
Unemployed Persons aged 15 years and over,2024Q4,Mid-East,14.4
Unemployed Persons aged 15 years and over,2024Q4,Midland,8.0
Unemployed Persons aged 15 years and over,2025Q1,State,124.2
Unemployed Persons aged 15 years and over,2025Q1,Northern and Western,22.3
Unemployed Persons aged 15 years and over,2025Q1,Border,10.5
Unemployed Persons aged 15 years and over,2025Q1,West,11.8
Unemployed Persons aged 15 years and over,2025Q1,Southern,39.9
Unemployed Persons aged 15 years and over,2025Q1,Mid-West,12.8
Unemployed Persons aged 15 years and over,2025Q1,South-East,13.1
Unemployed Persons aged 15 years and over,2025Q1,South-West,14.0
Unemployed Persons aged 15 years and over,2025Q1,Eastern and Midland,62.0
Unemployed Persons aged 15 years and over,2025Q1,Dublin,37.7
Unemployed Persons aged 15 years and over,2025Q1,Mid-East,17.1
Unemployed Persons aged 15 years and over,2025Q1,Midland,7.2
Persons aged 15 years and over in Labour Force,2012Q1,State,2210.7
Persons aged 15 years and over in Labour Force,2012Q1,Northern and Western,380.3
Persons aged 15 years and over in Labour Force,2012Q1,Border,168.0
Persons aged 15 years and over in Labour Force,2012Q1,West,212.4
Persons aged 15 years and over in Labour Force,2012Q1,Southern,744.7
Persons aged 15 years and over in Labour Force,2012Q1,Mid-West,234.2
Persons aged 15 years and over in Labour Force,2012Q1,South-East,186.3
Persons aged 15 years and over in Labour Force,2012Q1,South-West,324.2
Persons aged 15 years and over in Labour Force,2012Q1,Eastern and Midland,1085.6
Persons aged 15 years and over in Labour Force,2012Q1,Dublin,628.0
Persons aged 15 years and over in Labour Force,2012Q1,Mid-East,330.8
Persons aged 15 years and over in Labour Force,2012Q1,Midland,126.9
Persons aged 15 years and over in Labour Force,2012Q2,State,2229.0
Persons aged 15 years and over in Labour Force,2012Q2,Northern and Western,388.1
Persons aged 15 years and over in Labour Force,2012Q2,Border,172.1
Persons aged 15 years and over in Labour Force,2012Q2,West,216.0
Persons aged 15 years and over in Labour Force,2012Q2,Southern,756.8
Persons aged 15 years and over in Labour Force,2012Q2,Mid-West,234.4
Persons aged 15 years and over in Labour Force,2012Q2,South-East,190.4
Persons aged 15 years and over in Labour Force,2012Q2,South-West,332.0
Persons aged 15 years and over in Labour Force,2012Q2,Eastern and Midland,1084.1
Persons aged 15 years and over in Labour Force,2012Q2,Dublin,628.5
Persons aged 15 years and over in Labour Force,2012Q2,Mid-East,329.2
Persons aged 15 years and over in Labour Force,2012Q2,Midland,126.4
Persons aged 15 years and over in Labour Force,2012Q3,State,2242.7
Persons aged 15 years and over in Labour Force,2012Q3,Northern and Western,390.9
Persons aged 15 years and over in Labour Force,2012Q3,Border,173.3
Persons aged 15 years and over in Labour Force,2012Q3,West,217.5
Persons aged 15 years and over in Labour Force,2012Q3,Southern,759.1
Persons aged 15 years and over in Labour Force,2012Q3,Mid-West,237.7
Persons aged 15 years and over in Labour Force,2012Q3,South-East,188.6
Persons aged 15 years and over in Labour Force,2012Q3,South-West,332.8
Persons aged 15 years and over in Labour Force,2012Q3,Eastern and Midland,1092.7
Persons aged 15 years and over in Labour Force,2012Q3,Dublin,637.1
Persons aged 15 years and over in Labour Force,2012Q3,Mid-East,330.0
Persons aged 15 years and over in Labour Force,2012Q3,Midland,125.5
Persons aged 15 years and over in Labour Force,2012Q4,State,2212.3
Persons aged 15 years and over in Labour Force,2012Q4,Northern and Western,383.3
Persons aged 15 years and over in Labour Force,2012Q4,Border,171.5
Persons aged 15 years and over in Labour Force,2012Q4,West,211.8
Persons aged 15 years and over in Labour Force,2012Q4,Southern,749.1
Persons aged 15 years and over in Labour Force,2012Q4,Mid-West,233.6
Persons aged 15 years and over in Labour Force,2012Q4,South-East,184.6
Persons aged 15 years and over in Labour Force,2012Q4,South-West,331.0
Persons aged 15 years and over in Labour Force,2012Q4,Eastern and Midland,1079.8
Persons aged 15 years and over in Labour Force,2012Q4,Dublin,631.8
Persons aged 15 years and over in Labour Force,2012Q4,Mid-East,323.4
Persons aged 15 years and over in Labour Force,2012Q4,Midland,124.7
Persons aged 15 years and over in Labour Force,2013Q1,State,2210.1
Persons aged 15 years and over in Labour Force,2013Q1,Northern and Western,384.9
Persons aged 15 years and over in Labour Force,2013Q1,Border,172.7
Persons aged 15 years and over in Labour Force,2013Q1,West,212.2
Persons aged 15 years and over in Labour Force,2013Q1,Southern,747.4
Persons aged 15 years and over in Labour Force,2013Q1,Mid-West,231.2
Persons aged 15 years and over in Labour Force,2013Q1,South-East,187.2
Persons aged 15 years and over in Labour Force,2013Q1,South-West,329.0
Persons aged 15 years and over in Labour Force,2013Q1,Eastern and Midland,1077.8
Persons aged 15 years and over in Labour Force,2013Q1,Dublin,621.6
Persons aged 15 years and over in Labour Force,2013Q1,Mid-East,329.0
Persons aged 15 years and over in Labour Force,2013Q1,Midland,127.2
Persons aged 15 years and over in Labour Force,2013Q2,State,2253.7
Persons aged 15 years and over in Labour Force,2013Q2,Northern and Western,395.1
Persons aged 15 years and over in Labour Force,2013Q2,Border,178.9
Persons aged 15 years and over in Labour Force,2013Q2,West,216.2
Persons aged 15 years and over in Labour Force,2013Q2,Southern,759.4
Persons aged 15 years and over in Labour Force,2013Q2,Mid-West,234.4
Persons aged 15 years and over in Labour Force,2013Q2,South-East,188.8
Persons aged 15 years and over in Labour Force,2013Q2,South-West,336.2
Persons aged 15 years and over in Labour Force,2013Q2,Eastern and Midland,1099.2
Persons aged 15 years and over in Labour Force,2013Q2,Dublin,641.0
Persons aged 15 years and over in Labour Force,2013Q2,Mid-East,330.6
Persons aged 15 years and over in Labour Force,2013Q2,Midland,127.6
Persons aged 15 years and over in Labour Force,2013Q3,State,2271.8
Persons aged 15 years and over in Labour Force,2013Q3,Northern and Western,400.6
Persons aged 15 years and over in Labour Force,2013Q3,Border,180.7
Persons aged 15 years and over in Labour Force,2013Q3,West,219.9
Persons aged 15 years and over in Labour Force,2013Q3,Southern,769.4
Persons aged 15 years and over in Labour Force,2013Q3,Mid-West,236.9
Persons aged 15 years and over in Labour Force,2013Q3,South-East,190.8
Persons aged 15 years and over in Labour Force,2013Q3,South-West,341.7
Persons aged 15 years and over in Labour Force,2013Q3,Eastern and Midland,1101.8
Persons aged 15 years and over in Labour Force,2013Q3,Dublin,646.5
Persons aged 15 years and over in Labour Force,2013Q3,Mid-East,327.0
Persons aged 15 years and over in Labour Force,2013Q3,Midland,128.3
Persons aged 15 years and over in Labour Force,2013Q4,State,2245.8
Persons aged 15 years and over in Labour Force,2013Q4,Northern and Western,397.9
Persons aged 15 years and over in Labour Force,2013Q4,Border,182.1
Persons aged 15 years and over in Labour Force,2013Q4,West,215.8
Persons aged 15 years and over in Labour Force,2013Q4,Southern,745.8
Persons aged 15 years and over in Labour Force,2013Q4,Mid-West,225.0
Persons aged 15 years and over in Labour Force,2013Q4,South-East,192.4
Persons aged 15 years and over in Labour Force,2013Q4,South-West,328.3
Persons aged 15 years and over in Labour Force,2013Q4,Eastern and Midland,1102.1
Persons aged 15 years and over in Labour Force,2013Q4,Dublin,644.6
Persons aged 15 years and over in Labour Force,2013Q4,Mid-East,330.2
Persons aged 15 years and over in Labour Force,2013Q4,Midland,127.3
Persons aged 15 years and over in Labour Force,2014Q1,State,2232.8
Persons aged 15 years and over in Labour Force,2014Q1,Northern and Western,391.0
Persons aged 15 years and over in Labour Force,2014Q1,Border,182.1
Persons aged 15 years and over in Labour Force,2014Q1,West,208.8
Persons aged 15 years and over in Labour Force,2014Q1,Southern,740.5
Persons aged 15 years and over in Labour Force,2014Q1,Mid-West,224.8
Persons aged 15 years and over in Labour Force,2014Q1,South-East,190.6
Persons aged 15 years and over in Labour Force,2014Q1,South-West,325.2
Persons aged 15 years and over in Labour Force,2014Q1,Eastern and Midland,1101.3
Persons aged 15 years and over in Labour Force,2014Q1,Dublin,650.0
Persons aged 15 years and over in Labour Force,2014Q1,Mid-East,325.1
Persons aged 15 years and over in Labour Force,2014Q1,Midland,126.2
Persons aged 15 years and over in Labour Force,2014Q2,State,2248.3
Persons aged 15 years and over in Labour Force,2014Q2,Northern and Western,392.1
Persons aged 15 years and over in Labour Force,2014Q2,Border,182.9
Persons aged 15 years and over in Labour Force,2014Q2,West,209.2
Persons aged 15 years and over in Labour Force,2014Q2,Southern,745.4
Persons aged 15 years and over in Labour Force,2014Q2,Mid-West,228.0
Persons aged 15 years and over in Labour Force,2014Q2,South-East,191.0
Persons aged 15 years and over in Labour Force,2014Q2,South-West,326.4
Persons aged 15 years and over in Labour Force,2014Q2,Eastern and Midland,1110.8
Persons aged 15 years and over in Labour Force,2014Q2,Dublin,656.8
Persons aged 15 years and over in Labour Force,2014Q2,Mid-East,325.5
