Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),11.2
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),United Kingdom,8.4
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),Ireland,274.4
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),All countries excluding Ireland,65.9
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",39.5
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),All Countries,325.6
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),8.1
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),38.5
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),Ireland,257.2
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),All countries excluding Ireland,68.4
Persons aged 15 years and over in Employment,2022Q2,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",17.2
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),All Countries,496.6
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.0
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),51.1
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),United Kingdom,7.8
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),Ireland,403.3
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),All countries excluding Ireland,93.3
Persons aged 15 years and over in Employment,2022Q2,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",24.4
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),All Countries,1987.1
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),57.9
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),EU15 to EU27 (accession countries joined post 2004),109.3
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),United Kingdom,41.3
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),Ireland,1623.5
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),All countries excluding Ireland,363.6
Persons aged 15 years and over in Employment,2022Q2,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",155.2
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",All Countries,132.5
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",Ireland,110.5
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,22.0
Persons aged 15 years and over in Employment,2022Q2,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),All Countries,109.9
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),Ireland,89.8
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),All countries excluding Ireland,20.1
Persons aged 15 years and over in Employment,2022Q2,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Not stated,All Countries,9.2
Persons aged 15 years and over in Employment,2022Q2,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Not stated,Ireland,6.8
Persons aged 15 years and over in Employment,2022Q2,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q2,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,All Countries,2602.6
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),68.7
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),165.9
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,United Kingdom,47.0
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,Ireland,2129.6
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,All countries excluding Ireland,473.0
Persons aged 15 years and over in Employment,2022Q3,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",191.4
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",All Countries,97.1
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",Ireland,93.4
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q3,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q3,Construction (F),All Countries,173.1
Persons aged 15 years and over in Employment,2022Q3,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q3,Construction (F),EU15 to EU27 (accession countries joined post 2004),16.6
Persons aged 15 years and over in Employment,2022Q3,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2022Q3,Construction (F),Ireland,147.1
Persons aged 15 years and over in Employment,2022Q3,Construction (F),All countries excluding Ireland,26.0
Persons aged 15 years and over in Employment,2022Q3,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,319.2
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),27.5
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,261.2
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,58.0
Persons aged 15 years and over in Employment,2022Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",18.1
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),All Countries,110.9
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),Ireland,93.5
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),All countries excluding Ireland,17.5
Persons aged 15 years and over in Employment,2022Q3,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q3,Accommodation and food service activities (I),All Countries,171.8
Persons aged 15 years and over in Employment,2022Q3,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q3,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),18.4
Persons aged 15 years and over in Employment,2022Q3,Accommodation and food service activities (I),United Kingdom,
