Statistic,Quarter,NACE Rev 2 Economic Sector,value
Students aged 15 years and over in employment (PES),2011Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2011Q4,Accommodation and food service activities (I),16.4
Students aged 15 years and over in employment (PES),2011Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2011Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2011Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2011Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2011Q4,Education (P),
Students aged 15 years and over in employment (PES),2011Q4,Human health and social work activities (Q),4.3
Students aged 15 years and over in employment (PES),2011Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2011Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2011Q4,Other NACE activities (R to U),5.2
Students aged 15 years and over in employment (PES),2011Q4,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2011Q4,Services (G to U),51.9
Students aged 15 years and over in employment (PES),2011Q4,Not stated,
Students aged 15 years and over in employment (PES),2012Q1,All NACE economic sectors,58.2
Students aged 15 years and over in employment (PES),2012Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2012Q1,Construction (F),
Students aged 15 years and over in employment (PES),2012Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.3
Students aged 15 years and over in employment (PES),2012Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2012Q1,Accommodation and food service activities (I),15.3
Students aged 15 years and over in employment (PES),2012Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2012Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2012Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2012Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2012Q1,Education (P),
Students aged 15 years and over in employment (PES),2012Q1,Human health and social work activities (Q),4.9
Students aged 15 years and over in employment (PES),2012Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2012Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2012Q1,Other NACE activities (R to U),5.6
Students aged 15 years and over in employment (PES),2012Q1,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2012Q1,Services (G to U),53.3
Students aged 15 years and over in employment (PES),2012Q1,Not stated,
Students aged 15 years and over in employment (PES),2012Q2,All NACE economic sectors,64.9
Students aged 15 years and over in employment (PES),2012Q2,"Agriculture, forestry and fishing (A)",4.2
Students aged 15 years and over in employment (PES),2012Q2,Construction (F),
Students aged 15 years and over in employment (PES),2012Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.4
Students aged 15 years and over in employment (PES),2012Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2012Q2,Accommodation and food service activities (I),18.7
Students aged 15 years and over in employment (PES),2012Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2012Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2012Q2,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2012Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2012Q2,Education (P),
Students aged 15 years and over in employment (PES),2012Q2,Human health and social work activities (Q),4.5
Students aged 15 years and over in employment (PES),2012Q2,Industry (B to E),
Students aged 15 years and over in employment (PES),2012Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2012Q2,Other NACE activities (R to U),5.1
Students aged 15 years and over in employment (PES),2012Q2,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2012Q2,Services (G to U),57.9
Students aged 15 years and over in employment (PES),2012Q2,Not stated,
Students aged 15 years and over in employment (PES),2012Q3,All NACE economic sectors,77.0
Students aged 15 years and over in employment (PES),2012Q3,"Agriculture, forestry and fishing (A)",6.1
Students aged 15 years and over in employment (PES),2012Q3,Construction (F),
Students aged 15 years and over in employment (PES),2012Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.4
Students aged 15 years and over in employment (PES),2012Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2012Q3,Accommodation and food service activities (I),20.3
Students aged 15 years and over in employment (PES),2012Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2012Q3,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2012Q3,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2012Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2012Q3,Education (P),
Students aged 15 years and over in employment (PES),2012Q3,Human health and social work activities (Q),5.6
Students aged 15 years and over in employment (PES),2012Q3,Industry (B to E),3.3
Students aged 15 years and over in employment (PES),2012Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2012Q3,Other NACE activities (R to U),6.0
Students aged 15 years and over in employment (PES),2012Q3,Industry and Construction (B to F),4.5
Students aged 15 years and over in employment (PES),2012Q3,Services (G to U),66.0
Students aged 15 years and over in employment (PES),2012Q3,Not stated,
Students aged 15 years and over in employment (PES),2012Q4,All NACE economic sectors,63.6
Students aged 15 years and over in employment (PES),2012Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2012Q4,Construction (F),
Students aged 15 years and over in employment (PES),2012Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.5
Students aged 15 years and over in employment (PES),2012Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2012Q4,Accommodation and food service activities (I),19.3
Students aged 15 years and over in employment (PES),2012Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2012Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2012Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2012Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2012Q4,Education (P),
Students aged 15 years and over in employment (PES),2012Q4,Human health and social work activities (Q),3.6
Students aged 15 years and over in employment (PES),2012Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2012Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2012Q4,Other NACE activities (R to U),4.3
Students aged 15 years and over in employment (PES),2012Q4,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2012Q4,Services (G to U),57.1
Students aged 15 years and over in employment (PES),2012Q4,Not stated,
