Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1999Q3,3.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1999Q4,3.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2000Q1,3.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2000Q2,3.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2000Q3,3.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2000Q4,3.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2001Q1,2.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2001Q2,2.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2001Q3,2.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2001Q4,2.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2002Q1,2.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2002Q2,2.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2002Q3,2.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2002Q4,2.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2003Q1,2.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2003Q2,2.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2003Q3,3.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2003Q4,2.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2004Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2004Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2004Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2004Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2005Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2005Q2,1.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2005Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2005Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2006Q1,1.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2006Q2,2.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2006Q3,2.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2006Q4,2.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2007Q1,2.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2007Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2007Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2007Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2008Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2008Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2008Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2008Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2009Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2009Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2009Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2009Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2010Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2010Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2010Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2010Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2011Q1,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2011Q2,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2011Q3,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,2011Q4,
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1998Q1,12.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1998Q2,12.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1998Q3,13.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1998Q4,12.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1999Q1,13.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1999Q2,13.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1999Q3,13.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,1999Q4,12.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2000Q1,12.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2000Q2,11.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2000Q3,11.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2000Q4,9.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2001Q1,10.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2001Q2,10.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2001Q3,10.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2001Q4,10.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2002Q1,10.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2002Q2,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2002Q3,10.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2002Q4,10.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2003Q1,9.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2003Q2,10.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2003Q3,11.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2003Q4,12.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2004Q1,9.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2004Q2,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2004Q3,10.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2004Q4,9.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2005Q1,10.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2005Q2,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2005Q3,11.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2005Q4,11.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2006Q1,12.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2006Q2,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2006Q3,11.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2006Q4,11.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2007Q1,10.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2007Q2,11.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2007Q3,11.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2007Q4,14.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2008Q1,15.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2008Q2,15.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2008Q3,12.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2008Q4,17.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2009Q1,13.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2009Q2,11.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2009Q3,11.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2009Q4,13.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2010Q1,10.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2010Q2,10.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2010Q3,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2010Q4,10.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2011Q1,8.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2011Q2,10.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2011Q3,9.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-East,2011Q4,9.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1998Q1,16.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1998Q2,15.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1998Q3,15.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1998Q4,15.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1999Q1,15.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1999Q2,15.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1999Q3,16.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,1999Q4,14.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2000Q1,15.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2000Q2,13.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2000Q3,14.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2000Q4,14.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2001Q1,13.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2001Q2,12.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2001Q3,15.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2001Q4,15.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2002Q1,14.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2002Q2,15.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2002Q3,15.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2002Q4,13.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Mid-West,2003Q1,12.2
