Statistic,Quarter,Detailed Occupational Group,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Education (P),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Services (G to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,Not stated,
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives","Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Construction (F),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives","Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Education (P),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives","Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Services (G to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",Not stated,
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,All NACE economic sectors,
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Construction (F),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Transportation and storage (H),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Accommodation and food service activities (I),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Information and communication (J),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Administrative and support service activities (N),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Education (P),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Human health and social work activities (Q),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Industry (B to E),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Other NACE activities (R to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Industry and Construction (B to F),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Services (G to U),
Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,Not stated,
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,All NACE economic sectors,1989.7
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,"Agriculture, forestry and fishing (A)",111.3
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Construction (F),196.9
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),281.2
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Transportation and storage (H),90.4
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Accommodation and food service activities (I),115.1
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Information and communication (J),78.1
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,"Professional, scientific and technical activities (M)",109.7
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Administrative and support service activities (N),82.6
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Public administration and defence; compulsory social security (O),87.4
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Education (P),121.7
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Human health and social work activities (Q),200.7
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Industry (B to E),311.5
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,"Financial, insurance and real estate activities (K, L)",95.2
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Other NACE activities (R to U),97.4
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Industry and Construction (B to F),508.4
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Services (G to U),1359.6
Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,Not stated,10.5
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,All NACE economic sectors,2018.0
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,"Agriculture, forestry and fishing (A)",112.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Construction (F),200.0
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),286.6
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Transportation and storage (H),90.1
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Accommodation and food service activities (I),119.5
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Information and communication (J),80.9
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,"Professional, scientific and technical activities (M)",109.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Administrative and support service activities (N),84.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Public administration and defence; compulsory social security (O),94.6
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Education (P),125.3
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Human health and social work activities (Q),202.3
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Industry (B to E),304.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,"Financial, insurance and real estate activities (K, L)",98.7
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Other NACE activities (R to U),98.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Industry and Construction (B to F),504.2
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Services (G to U),1389.5
Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,Not stated,12.1
Persons aged 15 years and over in Employment (ILO),2005Q2,"1 Managers, directors and senior officials",All NACE economic sectors,
