Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,No answer given,Male,7.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,No answer given,Female,15.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,All reasons for being in part-time employment,Both sexes,424.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,All reasons for being in part-time employment,Male,114.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,All reasons for being in part-time employment,Female,310.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,"School, education or training",Both sexes,90.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,"School, education or training",Male,42.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,"School, education or training",Female,48.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Illness or disability,Both sexes,8.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Illness or disability,Male,5.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Illness or disability,Female,2.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Looking after children or incapacitated adults,Both sexes,52.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Looking after children or incapacitated adults,Female,50.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other personal or family reasons,Both sexes,149.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other personal or family reasons,Male,15.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other personal or family reasons,Female,134.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Could not find full-time employment,Both sexes,55.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Could not find full-time employment,Male,23.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Could not find full-time employment,Female,31.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other reasons,Both sexes,43.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other reasons,Male,16.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,Other reasons,Female,27.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,No answer given,Both sexes,25.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,No answer given,Male,10.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q3,No answer given,Female,15.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,All reasons for being in part-time employment,Both sexes,419.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,All reasons for being in part-time employment,Male,107.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,All reasons for being in part-time employment,Female,311.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,"School, education or training",Both sexes,78.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,"School, education or training",Male,34.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,"School, education or training",Female,44.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Illness or disability,Both sexes,9.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Illness or disability,Male,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Illness or disability,Female,4.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Looking after children or incapacitated adults,Both sexes,67.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Looking after children or incapacitated adults,Female,64.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other personal or family reasons,Both sexes,128.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other personal or family reasons,Male,11.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other personal or family reasons,Female,117.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Could not find full-time employment,Both sexes,62.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Could not find full-time employment,Male,25.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Could not find full-time employment,Female,36.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other reasons,Both sexes,44.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other reasons,Male,16.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,Other reasons,Female,28.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,No answer given,Both sexes,28.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,No answer given,Male,11.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q4,No answer given,Female,16.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,All reasons for being in part-time employment,Both sexes,431.1
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,All reasons for being in part-time employment,Male,115.8
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,All reasons for being in part-time employment,Female,315.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,"School, education or training",Both sexes,78.3
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,"School, education or training",Male,31.3
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,"School, education or training",Female,47.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Illness or disability,Both sexes,6.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Illness or disability,Male,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Illness or disability,Female,2.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Looking after children or incapacitated adults,Both sexes,68.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Looking after children or incapacitated adults,Female,66.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other personal or family reasons,Both sexes,120.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other personal or family reasons,Male,11.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other personal or family reasons,Female,109.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Could not find full-time employment,Both sexes,75.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Could not find full-time employment,Male,32.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Could not find full-time employment,Female,42.5
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other reasons,Both sexes,44.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other reasons,Male,15.5
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,Other reasons,Female,29.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,No answer given,Both sexes,36.3
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,No answer given,Male,18.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q1,No answer given,Female,17.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,All reasons for being in part-time employment,Both sexes,433.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,All reasons for being in part-time employment,Male,123.5
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,All reasons for being in part-time employment,Female,310.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,"School, education or training",Both sexes,74.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,"School, education or training",Male,32.8
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,"School, education or training",Female,41.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Illness or disability,Both sexes,8.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Illness or disability,Male,4.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Illness or disability,Female,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Looking after children or incapacitated adults,Both sexes,71.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Looking after children or incapacitated adults,Female,69.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other personal or family reasons,Both sexes,110.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other personal or family reasons,Male,10.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other personal or family reasons,Female,100.1
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Could not find full-time employment,Both sexes,86.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Could not find full-time employment,Male,36.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Could not find full-time employment,Female,50.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other reasons,Both sexes,45.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other reasons,Male,16.1
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,Other reasons,Female,28.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,No answer given,Both sexes,37.5
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,No answer given,Male,21.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q2,No answer given,Female,16.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,All reasons for being in part-time employment,Both sexes,441.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,All reasons for being in part-time employment,Male,132.1
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,All reasons for being in part-time employment,Female,309.3
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,"School, education or training",Both sexes,78.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,"School, education or training",Male,35.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,"School, education or training",Female,43.3
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Illness or disability,Both sexes,7.4
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Illness or disability,Male,4.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Illness or disability,Female,3.2
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Looking after children or incapacitated adults,Both sexes,68.7
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Looking after children or incapacitated adults,Female,66.9
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Other personal or family reasons,Both sexes,105.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Other personal or family reasons,Male,11.6
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Other personal or family reasons,Female,94.0
Persons aged 15 years and over in Part-Time Employment (ILO),2009Q3,Could not find full-time employment,Both sexes,94.8
