Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2015Q3,84.0
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2015Q4,83.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2016Q1,85.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2016Q2,89.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2016Q3,84.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2016Q4,85.0
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2017Q1,90.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2017Q2,94.2
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2017Q3,92.8
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2017Q4,94.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2018Q1,99.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2018Q2,103.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2018Q3,105.4
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2018Q4,106.6
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2019Q1,110.4
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2019Q2,109.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2019Q3,109.2
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2019Q4,112.1
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Public administration and defence; compulsory social security (O),2005Q2,
