Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment,2008Q4,Female,Construction (F),9.6
Persons aged 15-89 years in Employment,2008Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",165.6
Persons aged 15-89 years in Employment,2008Q4,Female,Transportation and storage (H),15.5
Persons aged 15-89 years in Employment,2008Q4,Female,Accommodation and food service activities (I),65.8
Persons aged 15-89 years in Employment,2008Q4,Female,Information and communication (J),29.2
Persons aged 15-89 years in Employment,2008Q4,Female,"Professional, scientific and technical activities (M)",49.1
Persons aged 15-89 years in Employment,2008Q4,Female,Administrative and support service activities (N),35.0
Persons aged 15-89 years in Employment,2008Q4,Female,"Public administration and defence, compulsory social security (O)",46.2
Persons aged 15-89 years in Employment,2008Q4,Female,Education (P),110.0
Persons aged 15-89 years in Employment,2008Q4,Female,Human health and social work activities (Q),198.9
Persons aged 15-89 years in Employment,2008Q4,Female,Industry (B to E),80.6
Persons aged 15-89 years in Employment,2008Q4,Female,Industry and Construction (B to F),90.1
Persons aged 15-89 years in Employment,2008Q4,Female,Services (G to U),842.5
Persons aged 15-89 years in Employment,2008Q4,Female,"Financial, insurance and real estate activities (K,L)",62.2
Persons aged 15-89 years in Employment,2008Q4,Female,Other NACE activities (R to U),64.9
Persons aged 15-89 years in Employment,2008Q4,Female,Not stated,4.6
Persons aged 15-89 years in Employment,2009Q1,Both sexes,All NACE economic sectors,2054.5
Persons aged 15-89 years in Employment,2009Q1,Both sexes,"Agriculture, forestry and fishing (A)",110.1
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Construction (F),156.1
Persons aged 15-89 years in Employment,2009Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",303.0
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Transportation and storage (H),90.8
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Accommodation and food service activities (I),128.9
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Information and communication (J),88.3
Persons aged 15-89 years in Employment,2009Q1,Both sexes,"Professional, scientific and technical activities (M)",113.9
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Administrative and support service activities (N),83.4
Persons aged 15-89 years in Employment,2009Q1,Both sexes,"Public administration and defence, compulsory social security (O)",97.0
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Education (P),146.2
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Human health and social work activities (Q),238.6
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Industry (B to E),275.3
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Industry and Construction (B to F),431.4
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Services (G to U),1503.1
Persons aged 15-89 years in Employment,2009Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",107.6
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Other NACE activities (R to U),105.5
Persons aged 15-89 years in Employment,2009Q1,Both sexes,Not stated,9.8
Persons aged 15-89 years in Employment,2009Q1,Male,All NACE economic sectors,1123.9
Persons aged 15-89 years in Employment,2009Q1,Male,"Agriculture, forestry and fishing (A)",94.5
Persons aged 15-89 years in Employment,2009Q1,Male,Construction (F),147.8
Persons aged 15-89 years in Employment,2009Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.5
Persons aged 15-89 years in Employment,2009Q1,Male,Transportation and storage (H),74.3
Persons aged 15-89 years in Employment,2009Q1,Male,Accommodation and food service activities (I),61.5
Persons aged 15-89 years in Employment,2009Q1,Male,Information and communication (J),59.3
Persons aged 15-89 years in Employment,2009Q1,Male,"Professional, scientific and technical activities (M)",70.4
Persons aged 15-89 years in Employment,2009Q1,Male,Administrative and support service activities (N),45.9
Persons aged 15-89 years in Employment,2009Q1,Male,"Public administration and defence, compulsory social security (O)",52.4
Persons aged 15-89 years in Employment,2009Q1,Male,Education (P),39.1
Persons aged 15-89 years in Employment,2009Q1,Male,Human health and social work activities (Q),45.3
Persons aged 15-89 years in Employment,2009Q1,Male,Industry (B to E),195.2
Persons aged 15-89 years in Employment,2009Q1,Male,Industry and Construction (B to F),343.0
Persons aged 15-89 years in Employment,2009Q1,Male,Services (G to U),680.1
Persons aged 15-89 years in Employment,2009Q1,Male,"Financial, insurance and real estate activities (K,L)",49.0
Persons aged 15-89 years in Employment,2009Q1,Male,Other NACE activities (R to U),42.5
Persons aged 15-89 years in Employment,2009Q1,Male,Not stated,6.3
Persons aged 15-89 years in Employment,2009Q1,Female,All NACE economic sectors,930.6
Persons aged 15-89 years in Employment,2009Q1,Female,"Agriculture, forestry and fishing (A)",15.6
Persons aged 15-89 years in Employment,2009Q1,Female,Construction (F),8.3
Persons aged 15-89 years in Employment,2009Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",162.5
Persons aged 15-89 years in Employment,2009Q1,Female,Transportation and storage (H),16.5
Persons aged 15-89 years in Employment,2009Q1,Female,Accommodation and food service activities (I),67.4
Persons aged 15-89 years in Employment,2009Q1,Female,Information and communication (J),28.9
Persons aged 15-89 years in Employment,2009Q1,Female,"Professional, scientific and technical activities (M)",43.4
Persons aged 15-89 years in Employment,2009Q1,Female,Administrative and support service activities (N),37.6
Persons aged 15-89 years in Employment,2009Q1,Female,"Public administration and defence, compulsory social security (O)",44.6
Persons aged 15-89 years in Employment,2009Q1,Female,Education (P),107.1
Persons aged 15-89 years in Employment,2009Q1,Female,Human health and social work activities (Q),193.3
Persons aged 15-89 years in Employment,2009Q1,Female,Industry (B to E),80.1
Persons aged 15-89 years in Employment,2009Q1,Female,Industry and Construction (B to F),88.4
Persons aged 15-89 years in Employment,2009Q1,Female,Services (G to U),823.0
Persons aged 15-89 years in Employment,2009Q1,Female,"Financial, insurance and real estate activities (K,L)",58.6
Persons aged 15-89 years in Employment,2009Q1,Female,Other NACE activities (R to U),63.0
Persons aged 15-89 years in Employment,2009Q1,Female,Not stated,3.6
Persons aged 15-89 years in Employment,2009Q2,Both sexes,All NACE economic sectors,2028.6
Persons aged 15-89 years in Employment,2009Q2,Both sexes,"Agriculture, forestry and fishing (A)",114.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Construction (F),132.7
Persons aged 15-89 years in Employment,2009Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",294.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Transportation and storage (H),90.7
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Accommodation and food service activities (I),132.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Information and communication (J),88.7
Persons aged 15-89 years in Employment,2009Q2,Both sexes,"Professional, scientific and technical activities (M)",111.8
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Administrative and support service activities (N),83.1
Persons aged 15-89 years in Employment,2009Q2,Both sexes,"Public administration and defence, compulsory social security (O)",96.9
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Education (P),144.9
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Human health and social work activities (Q),245.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Industry (B to E),268.8
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Industry and Construction (B to F),401.5
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Services (G to U),1503.2
Persons aged 15-89 years in Employment,2009Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",112.4
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Other NACE activities (R to U),102.1
Persons aged 15-89 years in Employment,2009Q2,Both sexes,Not stated,9.4
Persons aged 15-89 years in Employment,2009Q2,Male,All NACE economic sectors,1100.6
Persons aged 15-89 years in Employment,2009Q2,Male,"Agriculture, forestry and fishing (A)",98.2
Persons aged 15-89 years in Employment,2009Q2,Male,Construction (F),123.7
Persons aged 15-89 years in Employment,2009Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",136.9
Persons aged 15-89 years in Employment,2009Q2,Male,Transportation and storage (H),74.5
Persons aged 15-89 years in Employment,2009Q2,Male,Accommodation and food service activities (I),65.4
Persons aged 15-89 years in Employment,2009Q2,Male,Information and communication (J),58.6
Persons aged 15-89 years in Employment,2009Q2,Male,"Professional, scientific and technical activities (M)",68.8
Persons aged 15-89 years in Employment,2009Q2,Male,Administrative and support service activities (N),46.8
Persons aged 15-89 years in Employment,2009Q2,Male,"Public administration and defence, compulsory social security (O)",50.2
Persons aged 15-89 years in Employment,2009Q2,Male,Education (P),37.8
Persons aged 15-89 years in Employment,2009Q2,Male,Human health and social work activities (Q),50.0
Persons aged 15-89 years in Employment,2009Q2,Male,Industry (B to E),190.5
Persons aged 15-89 years in Employment,2009Q2,Male,Industry and Construction (B to F),314.2
Persons aged 15-89 years in Employment,2009Q2,Male,Services (G to U),682.4
Persons aged 15-89 years in Employment,2009Q2,Male,"Financial, insurance and real estate activities (K,L)",52.2
Persons aged 15-89 years in Employment,2009Q2,Male,Other NACE activities (R to U),41.2
Persons aged 15-89 years in Employment,2009Q2,Male,Not stated,5.8
Persons aged 15-89 years in Employment,2009Q2,Female,All NACE economic sectors,928.0
Persons aged 15-89 years in Employment,2009Q2,Female,"Agriculture, forestry and fishing (A)",16.3
Persons aged 15-89 years in Employment,2009Q2,Female,Construction (F),9.0
Persons aged 15-89 years in Employment,2009Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",157.6
Persons aged 15-89 years in Employment,2009Q2,Female,Transportation and storage (H),16.2
Persons aged 15-89 years in Employment,2009Q2,Female,Accommodation and food service activities (I),67.1
Persons aged 15-89 years in Employment,2009Q2,Female,Information and communication (J),30.1
Persons aged 15-89 years in Employment,2009Q2,Female,"Professional, scientific and technical activities (M)",43.1
Persons aged 15-89 years in Employment,2009Q2,Female,Administrative and support service activities (N),36.3
Persons aged 15-89 years in Employment,2009Q2,Female,"Public administration and defence, compulsory social security (O)",46.7
Persons aged 15-89 years in Employment,2009Q2,Female,Education (P),107.1
Persons aged 15-89 years in Employment,2009Q2,Female,Human health and social work activities (Q),195.5
Persons aged 15-89 years in Employment,2009Q2,Female,Industry (B to E),78.3
Persons aged 15-89 years in Employment,2009Q2,Female,Industry and Construction (B to F),87.3
Persons aged 15-89 years in Employment,2009Q2,Female,Services (G to U),820.8
Persons aged 15-89 years in Employment,2009Q2,Female,"Financial, insurance and real estate activities (K,L)",60.2
Persons aged 15-89 years in Employment,2009Q2,Female,Other NACE activities (R to U),60.9
Persons aged 15-89 years in Employment,2009Q2,Female,Not stated,3.6
Persons aged 15-89 years in Employment,2009Q3,Both sexes,All NACE economic sectors,2006.2
Persons aged 15-89 years in Employment,2009Q3,Both sexes,"Agriculture, forestry and fishing (A)",113.8
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Construction (F),128.6
Persons aged 15-89 years in Employment,2009Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",286.8
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Transportation and storage (H),91.6
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Accommodation and food service activities (I),135.6
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Information and communication (J),87.8
Persons aged 15-89 years in Employment,2009Q3,Both sexes,"Professional, scientific and technical activities (M)",109.2
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Administrative and support service activities (N),84.1
Persons aged 15-89 years in Employment,2009Q3,Both sexes,"Public administration and defence, compulsory social security (O)",94.5
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Education (P),133.4
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Human health and social work activities (Q),250.4
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Industry (B to E),260.8
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Industry and Construction (B to F),389.4
Persons aged 15-89 years in Employment,2009Q3,Both sexes,Services (G to U),1492.0
