Statistic,Quarter,Age Group,Sex,value
Person aged 15 years and over in the Labour Force,2009Q2,15 - 24 years,Female,193.2
Person aged 15 years and over in the Labour Force,2009Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2009Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2009Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2009Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2009Q2,15 years and over,Both sexes,2328.0
Person aged 15 years and over in the Labour Force,2009Q2,15 years and over,Male,1302.0
Person aged 15 years and over in the Labour Force,2009Q2,15 years and over,Female,1026.0
Person aged 15 years and over in the Labour Force,2009Q2,20 - 24 years,Both sexes,300.0
Person aged 15 years and over in the Labour Force,2009Q2,20 - 24 years,Male,152.1
Person aged 15 years and over in the Labour Force,2009Q2,20 - 24 years,Female,147.9
Person aged 15 years and over in the Labour Force,2009Q2,25 - 34 years,Both sexes,658.0
Person aged 15 years and over in the Labour Force,2009Q2,25 - 34 years,Male,353.0
Person aged 15 years and over in the Labour Force,2009Q2,25 - 34 years,Female,305.0
Person aged 15 years and over in the Labour Force,2009Q2,35 - 44 years,Both sexes,544.7
Person aged 15 years and over in the Labour Force,2009Q2,35 - 44 years,Male,312.8
Person aged 15 years and over in the Labour Force,2009Q2,35 - 44 years,Female,231.9
Person aged 15 years and over in the Labour Force,2009Q2,45 - 54 years,Both sexes,430.1
Person aged 15 years and over in the Labour Force,2009Q2,45 - 54 years,Male,243.0
Person aged 15 years and over in the Labour Force,2009Q2,45 - 54 years,Female,187.2
Person aged 15 years and over in the Labour Force,2009Q2,55 - 59 years,Both sexes,151.9
Person aged 15 years and over in the Labour Force,2009Q2,55 - 59 years,Male,90.0
Person aged 15 years and over in the Labour Force,2009Q2,55 - 59 years,Female,61.9
Person aged 15 years and over in the Labour Force,2009Q2,60 - 64 years,Both sexes,92.8
Person aged 15 years and over in the Labour Force,2009Q2,60 - 64 years,Male,58.9
Person aged 15 years and over in the Labour Force,2009Q2,60 - 64 years,Female,33.9
Person aged 15 years and over in the Labour Force,2009Q2,65 years and over,Both sexes,46.5
Person aged 15 years and over in the Labour Force,2009Q2,65 years and over,Male,33.6
Person aged 15 years and over in the Labour Force,2009Q2,65 years and over,Female,12.9
Person aged 15 years and over in the Labour Force,2009Q2,25 - 74 years,Both sexes,1916.7
Person aged 15 years and over in the Labour Force,2009Q2,25 - 74 years,Male,1085.1
Person aged 15 years and over in the Labour Force,2009Q2,25 - 74 years,Female,831.6
Person aged 15 years and over in the Labour Force,2009Q3,15 - 19 years,Both sexes,104.6
Person aged 15 years and over in the Labour Force,2009Q3,15 - 19 years,Male,58.5
Person aged 15 years and over in the Labour Force,2009Q3,15 - 19 years,Female,46.0
Person aged 15 years and over in the Labour Force,2009Q3,15 - 24 years,Both sexes,391.4
Person aged 15 years and over in the Labour Force,2009Q3,15 - 24 years,Male,203.9
Person aged 15 years and over in the Labour Force,2009Q3,15 - 24 years,Female,187.4
Person aged 15 years and over in the Labour Force,2009Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2009Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2009Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2009Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2009Q3,15 years and over,Both sexes,2321.3
Person aged 15 years and over in the Labour Force,2009Q3,15 years and over,Male,1287.3
Person aged 15 years and over in the Labour Force,2009Q3,15 years and over,Female,1033.9
Person aged 15 years and over in the Labour Force,2009Q3,20 - 24 years,Both sexes,286.8
Person aged 15 years and over in the Labour Force,2009Q3,20 - 24 years,Male,145.4
Person aged 15 years and over in the Labour Force,2009Q3,20 - 24 years,Female,141.4
Person aged 15 years and over in the Labour Force,2009Q3,25 - 34 years,Both sexes,652.8
Person aged 15 years and over in the Labour Force,2009Q3,25 - 34 years,Male,346.7
Person aged 15 years and over in the Labour Force,2009Q3,25 - 34 years,Female,306.1
Person aged 15 years and over in the Labour Force,2009Q3,35 - 44 years,Both sexes,546.2
Person aged 15 years and over in the Labour Force,2009Q3,35 - 44 years,Male,309.8
Person aged 15 years and over in the Labour Force,2009Q3,35 - 44 years,Female,236.4
Person aged 15 years and over in the Labour Force,2009Q3,45 - 54 years,Both sexes,437.7
Person aged 15 years and over in the Labour Force,2009Q3,45 - 54 years,Male,245.4
Person aged 15 years and over in the Labour Force,2009Q3,45 - 54 years,Female,192.4
Person aged 15 years and over in the Labour Force,2009Q3,55 - 59 years,Both sexes,153.5
Person aged 15 years and over in the Labour Force,2009Q3,55 - 59 years,Male,88.9
Person aged 15 years and over in the Labour Force,2009Q3,55 - 59 years,Female,64.6
Person aged 15 years and over in the Labour Force,2009Q3,60 - 64 years,Both sexes,93.4
Person aged 15 years and over in the Labour Force,2009Q3,60 - 64 years,Male,59.2
Person aged 15 years and over in the Labour Force,2009Q3,60 - 64 years,Female,34.2
Person aged 15 years and over in the Labour Force,2009Q3,65 years and over,Both sexes,46.2
Person aged 15 years and over in the Labour Force,2009Q3,65 years and over,Male,33.5
Person aged 15 years and over in the Labour Force,2009Q3,65 years and over,Female,12.8
Person aged 15 years and over in the Labour Force,2009Q3,25 - 74 years,Both sexes,1922.1
Person aged 15 years and over in the Labour Force,2009Q3,25 - 74 years,Male,1077.0
Person aged 15 years and over in the Labour Force,2009Q3,25 - 74 years,Female,845.1
Person aged 15 years and over in the Labour Force,2009Q4,15 - 19 years,Both sexes,86.1
Person aged 15 years and over in the Labour Force,2009Q4,15 - 19 years,Male,50.0
Person aged 15 years and over in the Labour Force,2009Q4,15 - 19 years,Female,36.1
Person aged 15 years and over in the Labour Force,2009Q4,15 - 24 years,Both sexes,360.5
Person aged 15 years and over in the Labour Force,2009Q4,15 - 24 years,Male,188.8
Person aged 15 years and over in the Labour Force,2009Q4,15 - 24 years,Female,171.7
Person aged 15 years and over in the Labour Force,2009Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2009Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2009Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2009Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2009Q4,15 years and over,Both sexes,2271.5
Person aged 15 years and over in the Labour Force,2009Q4,15 years and over,Male,1261.9
Person aged 15 years and over in the Labour Force,2009Q4,15 years and over,Female,1009.7
Person aged 15 years and over in the Labour Force,2009Q4,20 - 24 years,Both sexes,274.4
Person aged 15 years and over in the Labour Force,2009Q4,20 - 24 years,Male,138.8
Person aged 15 years and over in the Labour Force,2009Q4,20 - 24 years,Female,135.6
Person aged 15 years and over in the Labour Force,2009Q4,25 - 34 years,Both sexes,645.3
Person aged 15 years and over in the Labour Force,2009Q4,25 - 34 years,Male,342.8
Person aged 15 years and over in the Labour Force,2009Q4,25 - 34 years,Female,302.6
Person aged 15 years and over in the Labour Force,2009Q4,35 - 44 years,Both sexes,542.7
Person aged 15 years and over in the Labour Force,2009Q4,35 - 44 years,Male,309.7
Person aged 15 years and over in the Labour Force,2009Q4,35 - 44 years,Female,233.0
Person aged 15 years and over in the Labour Force,2009Q4,45 - 54 years,Both sexes,436.7
Person aged 15 years and over in the Labour Force,2009Q4,45 - 54 years,Male,243.4
Person aged 15 years and over in the Labour Force,2009Q4,45 - 54 years,Female,193.3
Person aged 15 years and over in the Labour Force,2009Q4,55 - 59 years,Both sexes,149.7
Person aged 15 years and over in the Labour Force,2009Q4,55 - 59 years,Male,86.1
Person aged 15 years and over in the Labour Force,2009Q4,55 - 59 years,Female,63.6
Person aged 15 years and over in the Labour Force,2009Q4,60 - 64 years,Both sexes,91.9
Person aged 15 years and over in the Labour Force,2009Q4,60 - 64 years,Male,58.3
Person aged 15 years and over in the Labour Force,2009Q4,60 - 64 years,Female,33.6
Person aged 15 years and over in the Labour Force,2009Q4,65 years and over,Both sexes,44.7
Person aged 15 years and over in the Labour Force,2009Q4,65 years and over,Male,32.8
Person aged 15 years and over in the Labour Force,2009Q4,65 years and over,Female,11.9
Person aged 15 years and over in the Labour Force,2009Q4,25 - 74 years,Both sexes,1904.3
Person aged 15 years and over in the Labour Force,2009Q4,25 - 74 years,Male,1067.7
Person aged 15 years and over in the Labour Force,2009Q4,25 - 74 years,Female,836.6
Person aged 15 years and over in the Labour Force,2010Q1,15 - 19 years,Both sexes,68.9
Person aged 15 years and over in the Labour Force,2010Q1,15 - 19 years,Male,40.1
Person aged 15 years and over in the Labour Force,2010Q1,15 - 19 years,Female,28.7
Person aged 15 years and over in the Labour Force,2010Q1,15 - 24 years,Both sexes,325.3
Person aged 15 years and over in the Labour Force,2010Q1,15 - 24 years,Male,172.5
Person aged 15 years and over in the Labour Force,2010Q1,15 - 24 years,Female,152.8
Person aged 15 years and over in the Labour Force,2010Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2010Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2010Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2010Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2010Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2010Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2010Q1,15 years and over,Both sexes,2240.7
Person aged 15 years and over in the Labour Force,2010Q1,15 years and over,Male,1242.8
Person aged 15 years and over in the Labour Force,2010Q1,15 years and over,Female,998.0
Person aged 15 years and over in the Labour Force,2010Q1,20 - 24 years,Both sexes,256.5
Person aged 15 years and over in the Labour Force,2010Q1,20 - 24 years,Male,132.4
Person aged 15 years and over in the Labour Force,2010Q1,20 - 24 years,Female,124.1
Person aged 15 years and over in the Labour Force,2010Q1,25 - 34 years,Both sexes,640.0
Person aged 15 years and over in the Labour Force,2010Q1,25 - 34 years,Male,336.9
Person aged 15 years and over in the Labour Force,2010Q1,25 - 34 years,Female,303.1
Person aged 15 years and over in the Labour Force,2010Q1,35 - 44 years,Both sexes,542.7
Person aged 15 years and over in the Labour Force,2010Q1,35 - 44 years,Male,309.7
Person aged 15 years and over in the Labour Force,2010Q1,35 - 44 years,Female,233.0
Person aged 15 years and over in the Labour Force,2010Q1,45 - 54 years,Both sexes,438.9
Person aged 15 years and over in the Labour Force,2010Q1,45 - 54 years,Male,244.6
Person aged 15 years and over in the Labour Force,2010Q1,45 - 54 years,Female,194.3
Person aged 15 years and over in the Labour Force,2010Q1,55 - 59 years,Both sexes,151.6
Person aged 15 years and over in the Labour Force,2010Q1,55 - 59 years,Male,86.1
Person aged 15 years and over in the Labour Force,2010Q1,55 - 59 years,Female,65.6
Person aged 15 years and over in the Labour Force,2010Q1,60 - 64 years,Both sexes,94.1
Person aged 15 years and over in the Labour Force,2010Q1,60 - 64 years,Male,59.3
Person aged 15 years and over in the Labour Force,2010Q1,60 - 64 years,Female,34.8
Person aged 15 years and over in the Labour Force,2010Q1,65 years and over,Both sexes,48.0
Person aged 15 years and over in the Labour Force,2010Q1,65 years and over,Male,33.6
Person aged 15 years and over in the Labour Force,2010Q1,65 years and over,Female,14.4
Person aged 15 years and over in the Labour Force,2010Q1,25 - 74 years,Both sexes,1907.8
Person aged 15 years and over in the Labour Force,2010Q1,25 - 74 years,Male,1064.3
Person aged 15 years and over in the Labour Force,2010Q1,25 - 74 years,Female,843.5
Person aged 15 years and over in the Labour Force,2010Q2,15 - 19 years,Both sexes,77.8
Person aged 15 years and over in the Labour Force,2010Q2,15 - 19 years,Male,44.6
Person aged 15 years and over in the Labour Force,2010Q2,15 - 19 years,Female,33.2
Person aged 15 years and over in the Labour Force,2010Q2,15 - 24 years,Both sexes,339.0
Person aged 15 years and over in the Labour Force,2010Q2,15 - 24 years,Male,177.3
Person aged 15 years and over in the Labour Force,2010Q2,15 - 24 years,Female,161.7
Person aged 15 years and over in the Labour Force,2010Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2010Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2010Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2010Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2010Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2010Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2010Q2,15 years and over,Both sexes,2267.5
Person aged 15 years and over in the Labour Force,2010Q2,15 years and over,Male,1252.3
Person aged 15 years and over in the Labour Force,2010Q2,15 years and over,Female,1015.2
Person aged 15 years and over in the Labour Force,2010Q2,20 - 24 years,Both sexes,261.2
Person aged 15 years and over in the Labour Force,2010Q2,20 - 24 years,Male,132.7
Person aged 15 years and over in the Labour Force,2010Q2,20 - 24 years,Female,128.5
Person aged 15 years and over in the Labour Force,2010Q2,25 - 34 years,Both sexes,641.0
Person aged 15 years and over in the Labour Force,2010Q2,25 - 34 years,Male,338.0
Person aged 15 years and over in the Labour Force,2010Q2,25 - 34 years,Female,303.0
Person aged 15 years and over in the Labour Force,2010Q2,35 - 44 years,Both sexes,547.8
Person aged 15 years and over in the Labour Force,2010Q2,35 - 44 years,Male,312.9
Person aged 15 years and over in the Labour Force,2010Q2,35 - 44 years,Female,234.9
Person aged 15 years and over in the Labour Force,2010Q2,45 - 54 years,Both sexes,440.7
Person aged 15 years and over in the Labour Force,2010Q2,45 - 54 years,Male,244.4
Person aged 15 years and over in the Labour Force,2010Q2,45 - 54 years,Female,196.3
Person aged 15 years and over in the Labour Force,2010Q2,55 - 59 years,Both sexes,156.7
