Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Construction (F),98.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),191.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Transportation and storage (H),61.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Accommodation and food service activities (I),76.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Information and communication (J),67.6
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,"Professional, scientific and technical activities (M)",62.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Administrative and support service activities (N),48.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Public administration and defence; compulsory social security (O),73.8
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Education (P),84.8
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Human health and social work activities (Q),135.0
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Industry (B to E),284.9
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",72.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Other NACE activities (R to U),50.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Industry and Construction (B to F),383.6
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Services (G to U),923.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,Not stated,5.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,All NACE economic sectors,127.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,"Agriculture, forestry and fishing (A)",2.0
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Construction (F),7.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.8
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Transportation and storage (H),3.0
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Accommodation and food service activities (I),16.9
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Information and communication (J),4.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,"Professional, scientific and technical activities (M)",5.2
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Administrative and support service activities (N),4.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Public administration and defence; compulsory social security (O),3.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Education (P),13.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Human health and social work activities (Q),16.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Industry (B to E),13.9
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Other NACE activities (R to U),7.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Industry and Construction (B to F),21.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Services (G to U),103.6
Employees aged 15 years and over in Employment (ILO),2002Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,All NACE economic sectors,48.9
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,"Agriculture, forestry and fishing (A)",1.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Construction (F),5.2
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.2
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Accommodation and food service activities (I),2.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,"Professional, scientific and technical activities (M)",1.5
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Administrative and support service activities (N),4.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Education (P),6.3
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Human health and social work activities (Q),7.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Industry (B to E),3.4
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Other NACE activities (R to U),9.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Industry and Construction (B to F),8.6
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Services (G to U),36.1
Employees aged 15 years and over in Employment (ILO),2002Q1,Not stated,Not stated,3.0
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,All NACE economic sectors,1523.4
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,"Agriculture, forestry and fishing (A)",24.1
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Construction (F),112.2
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),221.3
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Transportation and storage (H),66.3
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Accommodation and food service activities (I),95.1
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Information and communication (J),71.7
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,"Professional, scientific and technical activities (M)",69.6
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Administrative and support service activities (N),58.2
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Public administration and defence; compulsory social security (O),84.1
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Education (P),105.2
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Human health and social work activities (Q),161.0
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Industry (B to E),298.8
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,"Financial, insurance and real estate activities (K, L)",76.0
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Other NACE activities (R to U),70.1
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Industry and Construction (B to F),411.0
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Services (G to U),1078.5
Employees aged 15 years and over in Employment (ILO),2002Q2,All employees,Not stated,9.8
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,All NACE economic sectors,1342.6
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,"Agriculture, forestry and fishing (A)",20.3
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Construction (F),99.5
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),193.0
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Transportation and storage (H),62.1
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Accommodation and food service activities (I),76.0
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Information and communication (J),66.7
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,"Professional, scientific and technical activities (M)",63.8
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Administrative and support service activities (N),49.1
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Public administration and defence; compulsory social security (O),78.3
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Education (P),85.3
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Human health and social work activities (Q),136.5
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Industry (B to E),281.2
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",71.7
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Other NACE activities (R to U),52.9
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Industry and Construction (B to F),380.8
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Services (G to U),935.3
Employees aged 15 years and over in Employment (ILO),2002Q2,Permanent employees,Not stated,6.2
Employees aged 15 years and over in Employment (ILO),2002Q2,Temporary employees,All NACE economic sectors,133.7
Employees aged 15 years and over in Employment (ILO),2002Q2,Temporary employees,"Agriculture, forestry and fishing (A)",2.4
Employees aged 15 years and over in Employment (ILO),2002Q2,Temporary employees,Construction (F),8.0
