Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2017Q4,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,South-West,All persons in employment,316.4
Persons aged 15 years and over in employment (ILO),2017Q4,West,Person usually works at home,16.3
Persons aged 15 years and over in employment (ILO),2017Q4,West,Person sometimes works at home,21.0
Persons aged 15 years and over in employment (ILO),2017Q4,West,Person never works at home,166.3
Persons aged 15 years and over in employment (ILO),2017Q4,West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,West,All persons in employment,204.4
Persons aged 15 years and over in employment (ILO),2017Q4,Ireland,Person usually works at home,163.4
Persons aged 15 years and over in employment (ILO),2017Q4,Ireland,Person sometimes works at home,278.0
Persons aged 15 years and over in employment (ILO),2017Q4,Ireland,Person never works at home,1788.8
Persons aged 15 years and over in employment (ILO),2017Q4,Ireland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Ireland,All persons in employment,2234.7
Persons aged 15 years and over in employment (ILO),2018Q1,Border,Person usually works at home,19.0
Persons aged 15 years and over in employment (ILO),2018Q1,Border,Person sometimes works at home,13.4
Persons aged 15 years and over in employment (ILO),2018Q1,Border,Person never works at home,145.5
Persons aged 15 years and over in employment (ILO),2018Q1,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Border,All persons in employment,178.3
Persons aged 15 years and over in employment (ILO),2018Q1,Dublin,Person usually works at home,39.0
Persons aged 15 years and over in employment (ILO),2018Q1,Dublin,Person sometimes works at home,116.4
Persons aged 15 years and over in employment (ILO),2018Q1,Dublin,Person never works at home,522.2
Persons aged 15 years and over in employment (ILO),2018Q1,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Dublin,All persons in employment,680.0
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-East,Person usually works at home,25.3
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-East,Person sometimes works at home,40.0
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-East,Person never works at home,253.3
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-East,All persons in employment,318.9
Persons aged 15 years and over in employment (ILO),2018Q1,Midland,Person usually works at home,10.0
Persons aged 15 years and over in employment (ILO),2018Q1,Midland,Person sometimes works at home,10.1
Persons aged 15 years and over in employment (ILO),2018Q1,Midland,Person never works at home,105.1
Persons aged 15 years and over in employment (ILO),2018Q1,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Midland,All persons in employment,125.3
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-West,Person usually works at home,18.1
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-West,Person sometimes works at home,26.1
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-West,Person never works at home,171.2
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Mid-West,All persons in employment,215.5
Persons aged 15 years and over in employment (ILO),2018Q1,South-East,Person usually works at home,13.9
Persons aged 15 years and over in employment (ILO),2018Q1,South-East,Person sometimes works at home,21.1
Persons aged 15 years and over in employment (ILO),2018Q1,South-East,Person never works at home,147.2
Persons aged 15 years and over in employment (ILO),2018Q1,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,South-East,All persons in employment,182.1
Persons aged 15 years and over in employment (ILO),2018Q1,South-West,Person usually works at home,21.4
Persons aged 15 years and over in employment (ILO),2018Q1,South-West,Person sometimes works at home,38.2
Persons aged 15 years and over in employment (ILO),2018Q1,South-West,Person never works at home,257.3
Persons aged 15 years and over in employment (ILO),2018Q1,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,South-West,All persons in employment,317.1
Persons aged 15 years and over in employment (ILO),2018Q1,West,Person usually works at home,14.7
Persons aged 15 years and over in employment (ILO),2018Q1,West,Person sometimes works at home,22.9
Persons aged 15 years and over in employment (ILO),2018Q1,West,Person never works at home,169.8
Persons aged 15 years and over in employment (ILO),2018Q1,West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,West,All persons in employment,207.9
Persons aged 15 years and over in employment (ILO),2018Q1,Ireland,Person usually works at home,161.4
Persons aged 15 years and over in employment (ILO),2018Q1,Ireland,Person sometimes works at home,288.2
Persons aged 15 years and over in employment (ILO),2018Q1,Ireland,Person never works at home,1771.6
Persons aged 15 years and over in employment (ILO),2018Q1,Ireland,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,Ireland,All persons in employment,2225.3
Persons aged 15 years and over in employment (ILO),2018Q2,Border,Person usually works at home,16.8
Persons aged 15 years and over in employment (ILO),2018Q2,Border,Person sometimes works at home,13.8
Persons aged 15 years and over in employment (ILO),2018Q2,Border,Person never works at home,143.7
Persons aged 15 years and over in employment (ILO),2018Q2,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Border,All persons in employment,174.9
Persons aged 15 years and over in employment (ILO),2018Q2,Dublin,Person usually works at home,37.6
Persons aged 15 years and over in employment (ILO),2018Q2,Dublin,Person sometimes works at home,115.7
Persons aged 15 years and over in employment (ILO),2018Q2,Dublin,Person never works at home,536.2
Persons aged 15 years and over in employment (ILO),2018Q2,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Dublin,All persons in employment,691.5
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-East,Person usually works at home,25.5
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-East,Person sometimes works at home,40.7
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-East,Person never works at home,263.0
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-East,All persons in employment,329.3
Persons aged 15 years and over in employment (ILO),2018Q2,Midland,Person usually works at home,9.1
Persons aged 15 years and over in employment (ILO),2018Q2,Midland,Person sometimes works at home,10.2
Persons aged 15 years and over in employment (ILO),2018Q2,Midland,Person never works at home,105.3
Persons aged 15 years and over in employment (ILO),2018Q2,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Midland,All persons in employment,124.7
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-West,Person usually works at home,17.4
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-West,Person sometimes works at home,26.3
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-West,Person never works at home,173.9
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Mid-West,All persons in employment,218.0
Persons aged 15 years and over in employment (ILO),2018Q2,South-East,Person usually works at home,17.5
Persons aged 15 years and over in employment (ILO),2018Q2,South-East,Person sometimes works at home,21.5
Persons aged 15 years and over in employment (ILO),2018Q2,South-East,Person never works at home,152.4
Persons aged 15 years and over in employment (ILO),2018Q2,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,South-East,All persons in employment,191.4
Persons aged 15 years and over in employment (ILO),2018Q2,South-West,Person usually works at home,22.6
Persons aged 15 years and over in employment (ILO),2018Q2,South-West,Person sometimes works at home,44.3
Persons aged 15 years and over in employment (ILO),2018Q2,South-West,Person never works at home,261.9
Persons aged 15 years and over in employment (ILO),2018Q2,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,South-West,All persons in employment,329.2
Persons aged 15 years and over in employment (ILO),2018Q2,West,Person usually works at home,15.6
Persons aged 15 years and over in employment (ILO),2018Q2,West,Person sometimes works at home,22.2
Persons aged 15 years and over in employment (ILO),2018Q2,West,Person never works at home,164.1
Persons aged 15 years and over in employment (ILO),2018Q2,West,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,West,All persons in employment,202.6
Persons aged 15 years and over in employment (ILO),2018Q2,Ireland,Person usually works at home,162.1
Persons aged 15 years and over in employment (ILO),2018Q2,Ireland,Person sometimes works at home,294.7
Persons aged 15 years and over in employment (ILO),2018Q2,Ireland,Person never works at home,1800.6
Persons aged 15 years and over in employment (ILO),2018Q2,Ireland,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,Ireland,All persons in employment,2261.7
Persons aged 15 years and over in employment (ILO),2018Q3,Border,Person usually works at home,20.1
Persons aged 15 years and over in employment (ILO),2018Q3,Border,Person sometimes works at home,12.4
Persons aged 15 years and over in employment (ILO),2018Q3,Border,Person never works at home,146.8
Persons aged 15 years and over in employment (ILO),2018Q3,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q3,Border,All persons in employment,179.4
Persons aged 15 years and over in employment (ILO),2018Q3,Dublin,Person usually works at home,34.0
Persons aged 15 years and over in employment (ILO),2018Q3,Dublin,Person sometimes works at home,120.4
Persons aged 15 years and over in employment (ILO),2018Q3,Dublin,Person never works at home,537.0
Persons aged 15 years and over in employment (ILO),2018Q3,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q3,Dublin,All persons in employment,693.6
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-East,Person usually works at home,22.7
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-East,Person sometimes works at home,41.5
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-East,Person never works at home,264.6
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-East,All persons in employment,328.8
Persons aged 15 years and over in employment (ILO),2018Q3,Midland,Person usually works at home,8.3
Persons aged 15 years and over in employment (ILO),2018Q3,Midland,Person sometimes works at home,8.8
Persons aged 15 years and over in employment (ILO),2018Q3,Midland,Person never works at home,112.0
Persons aged 15 years and over in employment (ILO),2018Q3,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q3,Midland,All persons in employment,129.3
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-West,Person usually works at home,14.0
Persons aged 15 years and over in employment (ILO),2018Q3,Mid-West,Person sometimes works at home,24.0
