Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Public administration and defence; compulsory social security (O),7.0
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Education (P),24.4
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Human health and social work activities (Q),58.5
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Industry (B to E),18.9
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,"Financial, insurance and real estate activities (K, L)",10.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Other NACE activities (R to U),29.3
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Industry and Construction (B to F),24.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Services (G to U),292.0
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Not stated,1.7
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,All NACE economic sectors,1902.3
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,"Agriculture, forestry and fishing (A)",115.6
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Construction (F),165.7
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),275.1
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Transportation and storage (H),86.6
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Accommodation and food service activities (I),114.8
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Information and communication (J),74.4
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,"Professional, scientific and technical activities (M)",103.5
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Administrative and support service activities (N),68.3
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Public administration and defence; compulsory social security (O),81.1
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Education (P),119.1
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Human health and social work activities (Q),187.9
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Industry (B to E),313.8
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,"Financial, insurance and real estate activities (K, L)",91.4
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Other NACE activities (R to U),97.8
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Industry and Construction (B to F),479.5
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Services (G to U),1299.9
Persons aged 15 years and over in Employment (ILO),2004Q1,All employment status,Not stated,7.4
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,All NACE economic sectors,1564.8
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,"Agriculture, forestry and fishing (A)",103.4
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Construction (F),160.1
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),189.7
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Transportation and storage (H),78.3
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Accommodation and food service activities (I),72.2
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Information and communication (J),67.9
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,"Professional, scientific and technical activities (M)",91.9
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Administrative and support service activities (N),54.1
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Public administration and defence; compulsory social security (O),74.5
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Education (P),93.9
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Human health and social work activities (Q),129.0
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Industry (B to E),294.9
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,"Financial, insurance and real estate activities (K, L)",81.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Other NACE activities (R to U),67.2
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Industry and Construction (B to F),455.0
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Services (G to U),1000.4
Persons aged 15 years and over in Employment (ILO),2004Q1,Full-time,Not stated,6.0
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,All NACE economic sectors,337.5
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,"Agriculture, forestry and fishing (A)",12.2
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Construction (F),5.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),85.3
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Transportation and storage (H),8.3
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Accommodation and food service activities (I),42.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Information and communication (J),6.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,"Professional, scientific and technical activities (M)",11.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Administrative and support service activities (N),14.1
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Public administration and defence; compulsory social security (O),6.5
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Education (P),25.1
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Human health and social work activities (Q),58.9
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Industry (B to E),19.0
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,"Financial, insurance and real estate activities (K, L)",9.8
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Other NACE activities (R to U),30.5
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Industry and Construction (B to F),24.6
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Services (G to U),299.4
Persons aged 15 years and over in Employment (ILO),2004Q1,Part-time,Not stated,
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,All NACE economic sectors,1925.8
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,"Agriculture, forestry and fishing (A)",115.4
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Construction (F),173.8
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),274.1
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Transportation and storage (H),88.2
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Accommodation and food service activities (I),110.8
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Information and communication (J),77.3
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,"Professional, scientific and technical activities (M)",103.3
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Administrative and support service activities (N),73.0
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Public administration and defence; compulsory social security (O),85.5
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Education (P),119.4
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Human health and social work activities (Q),191.8
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Industry (B to E),311.0
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,"Financial, insurance and real estate activities (K, L)",94.4
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Other NACE activities (R to U),101.5
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Industry and Construction (B to F),484.8
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Services (G to U),1319.3
Persons aged 15 years and over in Employment (ILO),2004Q2,All employment status,Not stated,6.3
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,All NACE economic sectors,1590.6
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,"Agriculture, forestry and fishing (A)",103.4
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Construction (F),168.1
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),193.6
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Transportation and storage (H),80.2
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Accommodation and food service activities (I),71.0
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Information and communication (J),70.6
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,"Professional, scientific and technical activities (M)",92.0
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Administrative and support service activities (N),58.7
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Public administration and defence; compulsory social security (O),77.3
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Education (P),94.5
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Human health and social work activities (Q),131.2
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Industry (B to E),290.8
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,"Financial, insurance and real estate activities (K, L)",83.9
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Other NACE activities (R to U),69.9
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Industry and Construction (B to F),459.0
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Services (G to U),1023.0
Persons aged 15 years and over in Employment (ILO),2004Q2,Full-time,Not stated,5.2
Persons aged 15 years and over in Employment (ILO),2004Q2,Part-time,All NACE economic sectors,335.2
